# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Mar 05 20:42:08 PST 2025 [seed=1741236084154]
state	country.rates.Argentina.Brazil	country.rates.Argentina.Colombia	country.rates.Argentina.Ecuador	country.rates.Argentina.Venezuela	country.rates.Brazil.Colombia	country.rates.Brazil.Ecuador	country.rates.Brazil.Venezuela	country.rates.Colombia.Ecuador	country.rates.Colombia.Venezuela	country.rates.Ecuador.Venezuela	country.indicators.Argentina.Brazil	country.indicators.Argentina.Colombia	country.indicators.Argentina.Ecuador	country.indicators.Argentina.Venezuela	country.indicators.Brazil.Colombia	country.indicators.Brazil.Ecuador	country.indicators.Brazil.Venezuela	country.indicators.Colombia.Ecuador	country.indicators.Colombia.Venezuela	country.indicators.Ecuador.Venezuela	country.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0
1000	2.561506332614267	0.25501825774083103	1.218444400891054	1.97397425552627	0.6054005389078475	1.6858481063469029	0.9860283568884776	0.5262037528716562	3.1791866894955767	0.644226017579949	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	5.0
2000	2.752463924624953	0.4843198095166132	1.341501882769128	1.8000690703428057	0.09100384025948892	1.3121091729071583	0.6776727464924984	0.46982123132060655	4.8965909555202165	1.1188864894814134	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	6.0
3000	0.3050301772824949	0.1914180345486022	0.8222332711014095	1.7551239249982742	0.023626296844908558	1.4186022143394437	0.3220425009850903	2.25090098346655	3.2913517113867745	0.6199299239612841	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	5.0
4000	0.6263940089723368	1.5522738502407372	0.3686156278803518	1.542917340426362	0.007016458214310221	2.0960332908125605	0.6085258840690294	0.7338778869911492	3.3592088495235632	2.102911817862002	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	7.0
5000	0.6970589808565736	0.39936607126607293	0.13121080290568832	1.0664629141494046	0.4362063087446849	0.2968139408368704	0.8568339719945486	0.8477966332180465	3.920674835572853	1.0332663239408195	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
6000	0.7414106158424405	0.037950992275160814	0.07389882658282045	2.3694430645223616	0.08408297940872592	0.19665430316632568	0.5245469185147933	1.2571985627391329	1.9655303919758997	0.8847696383591175	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
7000	0.8876474078929445	0.013311489561341204	0.11122720099221954	0.43145426674742604	0.03188545498697257	0.11994512934442368	0.8551069848821932	2.11880961228447	3.733866467420304	0.2132416758382936	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	6.0
8000	0.6450813185245642	0.00798252561662587	0.5720665815638923	0.3650248377814974	0.08534020324572703	0.06273517297821404	0.6742088898491407	0.40019316694363394	1.433896567265942	0.7061779689305249	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	6.0
9000	0.3286323073377169	0.012777039386557047	0.4523625872602136	1.481860783976009	0.06708768801206966	0.170098344550864	0.7586806359390478	0.42711829436860654	0.835343727840665	0.20115266497257211	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
