sample	date	country	province	city	latitude	longitude
D1/Ecuador/Sucumbios/USFQ-DN_58/2023-08-28	2023-08-28	Ecuador	Sucumbios	Putumayo	0.11679	-75.86584
D1/Ecuador/Guayas/2020-02	2020-02	Ecuador	Guayas	Guayaquil	-2.18337	-79.89635
D1/Ecuador/Guayas/2024-01-17	2024-01-17	Ecuador	Guayas	Guayaquil	-2.18337	-79.89635
D1/Ecuador/Guayas/2024-02-27	2024-02-27	Ecuador	Guayas	Guayaquil	-2.18337	-79.89635
D1/mach-Ecu/TD-00044-S/2014	2014	Ecuador	El ORO	Machala	-3.25741	-79.95606
D1/mach-Ecuador/TD-00061-P/2014	2014	Ecuador	El ORO	Machala	-3.25741	-79.95606
D1/Esm-Ecu/210/2014	2014	Ecuador	NA	NA	-1.508237368	-78.60432574
D1/CO/BID-V3391/2008	2008	Colombia	NA	NA	3.542767999	-72.45329687
D1/VEN/CC0013/2010	2010	Venezuela	NA	NA	7.087074177	-65.82764465
D1/VE/IDAMS-921001/2015-10-2	2015-10-02	Venezuela	NA	NA	7.087074177	-65.82764465
D1/VE/IDAMS-910132/2015-10-19	2015-10-19	Venezuela	NA	NA	7.087074177	-65.82764465
D1/VE/BID-V3550/2001	2001	Venezuela	NA	NA	7.087074177	-65.82764465
D1/CO/BID-V3377/1998	1998	Colombia	NA	NA	3.542767999	-72.45329687
D1/IDAMS-910122/2015-10-19	2015-10-19	Venezuela	NA	NA	7.087074177	-65.82764465
D1/IDAMS-910109/2015-10-06	2015-10-06	Venezuela	NA	NA	7.087074177	-65.82764465
D1/VE/BID-V2229/2004	2004	Venezuela	NA	NA	7.087074177	-65.82764465
D1/CO/BID-V7290/1998	1998	Colombia	NA	NA	3.542767999	-72.45329687
D1/VE/BID-V2230/2004	2004	Venezuela	NA	NA	7.087074177	-65.82764465
D1/CO/BID-V3378/1999	1999	Colombia	NA	NA	3.542767999	-72.45329687
D1/VE/BID-V2260/2006	2006	Venezuela	NA	NA	7.087074177	-65.82764465
D1/VE/BID-V2243/2007	2007	Venezuela	NA	NA	7.087074177	-65.82764465
D1/VE/BID-V2235/2004	2004	Venezuela	NA	NA	7.087074177	-65.82764465
D1/CO/BID-V3376/1998	1998	Colombia	NA	NA	3.542767999	-72.45329687
D1/VE/BID-V2469/2008	2008	Venezuela	NA	NA	7.087074177	-65.82764465
D1/VE/BID-V2237/2004	2004	Venezuela	NA	NA	7.087074177	-65.82764465
D1/VE/BID-V2264/2006	2006	Venezuela	NA	NA	7.087074177	-65.82764465
D1/VE/BID-V2245/2005	2005	Venezuela	NA	NA	7.087074177	-65.82764465
